user_id,almanca,arapça,azerice,diğer,fransızca,ingilizce,ispanyolca,italyanca,japonca,rusça,türkçe,elementary,full_professional,limited_working,native_or_bilingual,professional_working,language_count
8,0,0,0,1,1,0,0,0,0,0,1,1,1,0,1,0,3
10,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
11,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,3
12,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,2
13,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,2
14,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,2
17,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,2
18,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
20,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,2
22,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,2
26,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,2
32,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,2
38,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,2
39,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
44,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,2
49,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
50,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
53,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,2
56,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,2
57,0,0,0,0,0,1,0,0,1,0,1,1,0,1,1,0,3
60,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,2
63,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,2
64,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,2
66,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,2
67,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,2
70,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,2
73,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,2
75,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
80,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,2
81,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,2
83,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,2
85,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,2
86,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,2
92,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,2
93,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
99,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,2
100,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2
102,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,2
107,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,2
110,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
111,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,2
114,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,2
115,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,2
119,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
120,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,3
122,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
125,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,2
129,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,4
130,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,2
134,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,2
135,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,2
136,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,3
140,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,3
141,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,2
149,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2
154,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,2
156,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2
157,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,2
159,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,3
163,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
164,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,2
166,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,2
167,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
169,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,2
171,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,2
172,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2
175,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,2
180,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
188,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,2
189,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,2
194,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,2
195,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,2
197,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
198,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,3
201,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,2
202,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
203,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,3
206,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,2
210,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,2
216,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,2
218,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,2
220,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
222,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,2
223,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1,0,3
224,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,2
